Item,UOM,EY %
Asparagus,lbs,56%
Carrot Heirloom Bulk,lbs,100%
"Carrot, Orange, Jumbo",lbs,82%
Fennel,lbs,60%
Fresno Chilies,lbs,85%
"Garlic, Peeled",lbs,100%
Ginger,lbs,80%
Green Bell Peppers,lbs,85%
Jalapenos,lbs,85%
"Kale, Green",lbs,74%
Lemongrass,lbs,88%
"Onions, Red",lbs,89%
"Onions, Shallots, Peeled",lbs,100%
"Onions, Yellow",lbs,89%
"Potato, No2 Unsorted",lbs,100%
Poblano Peppers,lbs,85%
Prairie Creek Sorted Potatoes,lbs,100%
Red Bell Peppers,lbs,85%
"Tomato, Grape",lbs,100%
"Tomato, No2 Loose",lbs,100%
Zucchini,lbs,78%
Yellow Squash,lbs,78%
"Cucumbers, Select",lbs,94%
"Carrots, baby Peeled w/ Top",lbs,100%
Celery,lbs,75%
"Cucumber, English",lbs,95%
Cauliflower,lbs,65%
"Bean, Green",lbs,100%
Rhubarb,lbs,100%
Ginger Root,lbs,100%
Broccolini,lbs,75%
Garlic Bulbs,lbs,100%
Pork Belly,lbs,60%
Scallion,lbs,100%
Parsley,lbs,76%
"Kale, Shredded",lbs,100%
Haricot Verts,lbs,100%
Daikon,lbs,79%
"Green Onions, Iceless, Rootless",lbs,100%
Napa Cabbage,lbs,85%
"Potato, Yukon Value",lbs,81%
"Spinach, Baby",lbs,100%
Kennebecs (fries only),lbs,81%
Romaine,lbs,89%
